,year,month,day,year_col,title,genre_final,gross_adj,budget_adj,female_dist7,male_dist7,gender_majority
0,2000,6,29,1,Anaknya Sazali,COMEDY,333817.2972,2302110.355,0.428571429,0.571428571,Male
1,2000,4,6,2,Mimpi Moon,ROMANTIC_COMEDY,851196.955,2302110.355,0.428571429,0.571428571,Male
2,2000,12,27,3,Syukur 21,SCIFI/FANTASY,1534740.237,5371590.829,0.285714286,0.714285714,Male
3,2000,8,31,4,Leftenan Adnan,ACTION,1650915.469,3836850.593,0.142857143,0.857142857,Male
4,2000,9,28,5,Soal Hati,ROMANTIC_COMEDY,2122751.587,1841688.284,0.285714286,0.714285714,Male
5,2000,1,8,6,Pasrah,ROMANCE,4207444.977,2302110.355,0.285714286,0.714285714,Male
6,2000,5,25,7,Senario Lagi,ADVENTURE,6711116.298,2302110.355,0.285714286,0.714285714,Male
7,2001,9,13,1,Cheritera,ANIMATION,3621.301775,1416784.732,0.285714286,0.714285714,Male
8,2001,10,25,2,Kaki Bakar,DRAMA,4373.614468,0,0.285714286,0.714285714,Male
9,2001,11,1,3,The Deadly Disciple,ACTION_COMEDY,49323.74531,1700141.678,0.428571429,0.571428571,Male
10,2001,8,2,4,Dari Jemapoh ke Manchestee,COMEDY,51261.53846,708392.366,0.285714286,0.714285714,Male
11,2001,9,27,5,Cinta Tiada Restu,MUSICAL,52807.39228,1246770.564,0.571428571,0.428571429,Female
12,2001,7,19,6,No Problem,ROMANTIC_COMEDY,212517.7098,1416784.732,0.285714286,0.714285714,Male
13,2001,6,28,7,Sara,ROMANTIC_COMEDY,249467.4556,1841820.152,0.285714286,0.714285714,Male
14,2001,10,18,8,Spinning Gasing,ROMANCE,686361.4201,3400283.357,0.285714286,0.714285714,Male
15,2001,5,24,9,Seri Dewi Malam,THRILLER,866006.763,1770980.915,0.428571429,0.571428571,Male
16,2001,8,30,10,Getaran,ROMANCE,1191005.917,1204267.022,0.428571429,0.571428571,Male
17,2001,3,1,11,Gerak Khas The Movie,THRILLER,6233852.821,1912659.388,0.571428571,0.428571429,Female
18,2001,12,14,12,Lagi Lagi Senario,COMEDY,8970245.856,2266855.571,0.285714286,0.714285714,Male
19,2002,12,6,1,Cinta 200 Ela,ROMANCE,271180.8695,198865.9709,0.428571429,0.571428571,Male
20,2002,3,28,2,Mendam Berahi,ACTION,397731.9419,3308406.607,0.571428571,0.428571429,Female
21,2002,8,1,3,Embun,ROMANCE,1717478.84,5423617.389,0.428571429,0.571428571,Male
